name,Tournament,Surface,Aces,Serve,Net Approaches,Net Points
Novak Djokovic v Roger Federer,Wimbledon,Grass,27,194,60,41
Andy Murray v Roger Federer,Wimbledon,Grass,32,141,35,26
Novak Djokovic v Richard Gasquet,Wimbledon,Grass,18,138,36,27
Gilles Simon v Roger Federer,Wimbledon,Grass,12,105,22,15
Vasek Pospisil v Andy Murray,Wimbledon,Grass,13,129,33,27
Stan Wawrinka v Richard Gasquet,Wimbledon,Grass,28,227,77,49
Novak Djokovic v Marin Cilic,Wimbledon,Grass,12,117,29,22
Novak Djokovic v Roger Federer,US Open,Hard,14,181,50,37
Stan Wawrinka v Roger Federer,US Open,Hard,16,100,31,22
Novak Djokovic v Marin Cilic,US Open,Hard,7,70,10,6
Richard Gasquet v Roger Federer,US Open,Hard,17,94,23,19
Stan Wawrinka v Kevin Anderson,US Open,Hard,18,100,20,14
Jo Wilfried Tsonga v Marin Cilic,US Open,Hard,44,233,40,27
Novak Djokovic v Feliciano Lopez,US Open,Hard,23,162,50,30
Novak Djokovic v Andy Murray,Aus Open,Hard,18,147,36,28
Tomas Berdych v Andy Murray,Aus Open,Hard,20,165,39,37
Novak Djokovic v Stan Wawrinka,Aus Open,Hard,15,183,44,27
Andy Murray v Nick Kyrgios,Aus Open,Hard,22,133,27,17
Tomas Berdych v Rafael Nadal,Aus Open,Hard,13,107,21,13
Stan Wawrinka v Kei Nishikori,Aus Open,Hard,26,129,26,19
Novak Djokovic v Milos Raonic,Aus Open,Hard,23,132,29,20
Novak Djokovic v Stan Wawrinka,French Open,Clay,15,162,37,26
Jo Wilfried Tsonga v Stan Wawrinka,French Open,Clay,23,205,31,24
Novak Djokovic v Andy Murray,French Open,Clay,20,188,47,34
Stan Wawrinka v Roger Federer,French Open,Clay,11,142,33,20
Kei Nishikori v Jo Wilfried Tsonga,French Open,Clay,15,178,42,26
Andy Murray v David Ferrer,French Open,Clay,11,146,28,24
Novak Djokovic v Rafael Nadal,French Open,Clay,6,104,21,13
