name,Tournament,Surface,Aces,Serve,Net Approaches,Net Points
Rafael Nadal v Novak Djokovic,Wimbledon,Grass,12,116,27,20
Jo-Wilfried Tsonga v Novak Djokovic,Wimbledon,Grass,17,171,59,38
Rafael Nadal v Andy Murray,Wimbledon,Grass,21,148,43,29
Bernard Tomic v Novak Djokovic,Wimbledon,Grass,21,156,39,24
Jo-Wilfried Tsonga v Roger Federer,Wimbledon,Grass,35,208,72,52
Andy Murray v Feliciano Lopez,Wimbledon,Grass,20,124,59,41
Rafael Nadal v Mardy Fish,Wimbledon,Grass,17,148,49,30
Novak Djokovic v Rafael Nadal,US Open,Hard,9,144,46,30
Andy Murray v Rafael Nadal,US Open,Hard,11,144,47,33
Novak Djokovic v Roger Federer,US Open,Hard,19,204,33,25
Andy Roddick v Rafael Nadal,US Open,Hard,14,85,29,12
John Isner v Andy Murray,US Open,Hard,31,184,71,52
Roger Federer v Jo-Wilfried Tsonga,US Open,Hard,10,106,39,23
Novak Djokovic v Janko Tipsarevic,US Open,Hard,18,130,37,21
Andy Murray v Novak Djokovic,Aus Open,Hard,12,104,21,9
Novak Djokovic v Roger Federer,Aus Open,Hard,11,145,37,27
David Ferrer v Andy Murray,Aus Open,Hard,14,171,59,40
Stanislas Wawrinka v Roger Federer,Aus Open,Hard,6,102,40,27
Tomas Berdych v Novak Djokovic,Aus Open,Hard,15,116,23,14
Alexandr Dolgopolov v Andy Murray,Aus Open,Hard,25,171,48,32
Rafael Nadal v David Ferrer,Aus Open,Hard,11,101,27,21
Rafael Nadal v Roger Federer,French Open,Clay,15,164,38,22
Roger Federer v Novak Djokovic,French Open,Clay,25,197,32,22
Rafael Nadal v Andy Murray,French Open,Clay,7,132,30,22
Gael Monfils v Roger Federer,French Open,Clay,8,135,38,27
Andy Murray v Juan Ignacio Chela,French Open,Clay,11,127,42,27
Rafael Nadal v Robin Soderling,French Open,Clay,9,111,18,13
Richard Gasquet v Novak Djokovic,French Open,Clay,14,109,14,19
