name,Tournament,Surface,Aces,Serve,Net Approaches,Net Points
Novak Djokovic v Roger Federer,Wimbledon,Grass,42,251,69,54
Roger Federer v Milos Raonic,Wimbledon,Grass,23,118,42,31
Novak Djokovic v Grigor Dimitrov,Wimbledon,Grass,32,188,53,39
Milos Raonic v Nick Kyrgios,Wimbledon,Grass,54,183,33,21
Stan Wawrinka v Roger Federer,Wimbledon,Grass,19,179,60,47
Andy Murray v Grigor Dimitrov,Wimbledon,Grass,15,111,33,30
Novak Djokovic v Marin Cilic,Wimbledon,Grass,20,182,30,21
Kei Nishikori v Marin Cilic,US Open,Hard,19,104,13,10
Marin Cilic v Roger Federer,US Open,Hard,25,112,20,9
Novak Djokovic v Kei Nishikori,US Open,Hard,18,146,18,11
Gael Monfils v Roger Federer,US Open,Hard,11,197,57,44
Tomas Berdych v Marin Cilic,US Open,Hard,23,116,13,9
Stan Wawrinka v Kei Nishikori,US Open,Hard,21,244,35,28
Novak Djokovic v Andy Murray,US Open,Hard,17,170,27,17
Rafael Nadal v Stanislas Wawrinka,Aus Open,Hard,20,128,13,11
Tomas Berdych v Stanislas Wawrinka,Aus Open,Hard,39,205,40,31
Rafael Nadal v Roger Federer,Aus Open,Hard,11,126,34,18
Stanislas Wawrinka v Novak Djokovic,Aus Open,Hard,24,205,43,31
Tomas Berdych v David Ferrer,Aus Open,Hard,12,148,27,22
Andy Murray v Roger Federer,Aus Open,Hard,19,177,51,41
Rafael Nadal v Grigor Dimitrov,Aus Open,Hard,19,184,56,46
Rafael Nadal v Novak Djokovic,French Open,Clay,14,154,22,17
Ernests Gulbis v Novak Djokovic,French Open,Clay,22,140,14,11
Rafael Nadal v Andy Murray,French Open,Clay,4,82,16,12
Milos Raonic v Novak Djokovic,French Open,Clay,25,144,26,19
Tomas Berdych v Ernests Gulbis,French Open,Clay,13,98,11,7
Gael Monfils v Andy Murray,French Open,Clay,5,162,30,23
Rafael Nadal v David Ferrer,French Open,Clay,4,113,9,5
