name,Tournament,Surface,Aces,Serve,Net Approaches,Net Points
Andy Murray v Novak Djokovic,Wimbledon,Grass,13,119,37,26
Novak Djokovic v Juan Martin Del Potro,Wimbledon,Grass,26,247,55,46
Jerzy Janowiczv v Andy Murray,Wimbledon,Grass,29,165,46,32
Tomas Berdych v Novak Djokovic,Wimbledon,Grass,22,123,24,18
David Ferrer v Juan Martin Del Potro,Wimbledon,Grass,20,128,33,30
Jerzy Janowiczv v Lukasz Kubot,Wimbledon,Grass,39,139,45,28
Fernando Verdasco v Andy Murray,Wimbledon,Grass,25,187,53,35
Novak Djokovic vs Rafael Nadal,US Open,Hard,7,131,33,24
Richard Gasquet vs Rafael Nadal,US Open,Hard,9,123,38,30
Novak Djokovic vs Stanislas Wawrinka,US Open,Hard,17,206,48,32
Andy Murray vs Stanislas Wawrinka,US Open,Hard,9,116,39,26
Novak Djokovic vs Mikhail Youzhny,US Open,Hard,7,120,26,20
Tommy Robredo vs Rafael Nadal,US Open,Hard,5,74,22,15
Richard Gasquet vs David Ferrer,US Open,Hard,11,170,61,46
Novak Djokovic v Andy Murray,Aus Open,Hard,15,184,36,30
Andy Murray v Roger Federer,Aus Open,Hard,26,216,45,33
Novak Djokovic v David Ferrer,Aus Open,Hard,7,78,8,6
Jo-Wilfried Tsonga v Roger Federer,Aus Open,Hard,26,224,77,55
Jeremy Chardy v Andy Murray,Aus Open,Hard,13,84,21,13
David Ferrer v Nicolas Almagro,Aus Open,Hard,31,195,20,17
Novak Djokovic v Tomas Berdych,Aus Open,Hard,18,131,30,27
Rafael Nadal vs David Ferrer,French Open,Clay,6,93,16,8
Rafael Nadal vs Novak Djokovic,French Open,Clay,11,214,48,29
Jo-Wilfried Tsonga vs David Ferrer,French Open,Clay,9,112,20,16
Tommy Haas vs Novak Djokovic,French Open,Clay,15,2,NaN,NaN
Stanislas Wawrinka v Rafael Nadal,French Open,Clay,8,NaN,NaN,NaN
Tommy Robredo vs David Ferrer,French Open,Clay,3,78,5,4
Jo-Wilfried Tsonga vs Roger Federer,French Open,Clay,2,109,20,19
